Category,Asset,Criticality,Maintenance Mode,Typical Service Frequency,Typical Replacement Cycle,Compliance,Primary KPIs,Energy Consumption (kWh/day),Peak Demand (kW),Energy Efficiency Rating,Trend (Last 30 Days)
Refrigeration,Open chillers / freezers,T1,Condition-based + Predictive,Remote temp monitoring; quarterly PM,8–10 yrs (compressors 5–7),F-gas/leak logs; HACCP,"Product temp compliance, Energy/kWh",125.6,42.5,C,+22%
Refrigeration,Compressors & condensers,T1,Condition-based + Predictive,Quarterly,5–7 yrs,Refrigerant management,"MTBF, Energy efficiency",95.4,32.8,C,+18%
HVAC,Packaged/RTU units,T1,Preventive + Condition-based,Quarterly filters; biannual PM,12–15 yrs,Refrigerant compliance,"Comfort SLA, Energy/kWh",145.8,48.6,C,+25%
POS & Kiosks,POS terminals,T2,Preventive + Reactive swap,Quarterly patching; HW health,4–6 yrs,PCI DSS,"Transaction uptime, Failures/1k txns",4.8,1.6,A,0%
POS & Kiosks,Self-checkout kiosks,T2,Preventive + Reactive,Quarterly,4–6 yrs,PCI DSS,"Availability, Abandon rate",7.2,2.4,A,+1%
Digital,Digital menu boards,T3,Preventive,Quarterly cleaning & firmware,6–8 yrs,Electrical/screen safety,"Uptime, Brightness drift",12.5,4.5,B,+2%
Back-Office IT,Back-office computer/server,T2,Preventive + Patch mgmt,Monthly patching; quarterly health,4–5 yrs,Security standards,"Uptime, Patch compliance",15.8,5.2,B,+3%
Security,CCTV cameras & NVR,T2,Preventive + Reactive,Quarterly,Cameras 6–8 yrs; NVR 5–7 yrs,Privacy/cybersecurity,"Footage retention, Uptime",24.6,8.5,B,+4%
Security,Alarms & sensors,T1,Preventive + Compliance,Quarterly tests; annual certification,8–10 yrs,Local codes,Alarm test pass rate,2.4,0.8,A,+1%
Energy,Smart meters,T2,Preventive + Remote,Annual health/firmware,10–12 yrs,Utility standards,"Read success, Data latency",0.5,0.2,A,0%
Energy,Solar PV,T2,Preventive + Condition-based,Quarterly cleaning; annual electrical,20–25 yrs (inverters 8–12),Electrical/grid standards,"Yield (kWh/kWp), PR ratio",-180.5,-60.0,A,-5%
Energy,Battery storage,T1,Condition-based + Predictive,Quarterly PM; BMS monitoring,8–12 yrs (chemistry dependent),Electrical/fire safety,"State of Health, Peak shaving",-25.4,-12.0,A,+8%
Energy,Diesel generators,T1,Preventive + Test runs,Monthly start test; quarterly service,12–15 yrs (batteries 4–6),Emissions; fuel storage,"Start success, Runtime readiness",2.5,85.0,D,0%
Energy,EaaS/EMS controllers,T1,Condition-based + Predictive,24×7 monitoring; quarterly patch,6–8 yrs,Cybersecurity standards,"Demand peaks, kWh/site, Savings",1.2,0.4,A,-15%
Electrical,Panels & distribution boards,T1,Preventive + Testing,Annual IR/load tests,15–20 yrs,Electrical codes,Outage incidents,0.8,0.3,A,0%
Electrical,UPS (IT racks),T1,Preventive + Testing,Quarterly tests; battery checks,8–10 yrs (batteries 4–6),Electrical safety,"Autonomy minutes, Battery SoH",3.6,1.2,B,+1%
Plumbing,Water heaters & lines,T2,Preventive,Semi-annual,Heaters 10–12 yrs,Legionella/water regulations,Water temp stability,32.5,12.5,C,+7%
Building,"Roofs, façade & glazing",T2,Preventive + Reactive,Annual inspection,Roof 20–25 yrs,Weather/structural standards,Water ingress incidents,0,0,N/A,0%
Building,Doors (manual/automatic),T2,Preventive + Reactive,Quarterly,10–12 yrs,Safety & accessibility,Fail-to-open incidents,1.5,0.5,B,0%
Building,Flooring & finishes,T3,Reactive + Light preventive,Annual,10–15 yrs,Health & safety,Slip incidents,0,0,N/A,0%
Grounds,Landscaping & irrigation,T3,Preventive,Seasonal/quarterly,Irrigation 10–12 yrs,Water use permits,"SLA adherence, Water consumption",5.5,2.0,B,+2%
Grounds,Snow removal (equipment/service),T2 (seasonal),Reactive + Seasonal PM,As required; preseason check,Equipment 8–10 yrs,Safety & access,"Response time, Site accessibility",0.5,0.2,B,0%
Exterior,Parking lot lighting,T2,Preventive,Semi-annual,12–15 yrs (drivers 7–10),Lux & safety standards,"Outage count, Energy/kWh",28.5,12.5,A,-10%
Exterior,Outdoor signage boards,T3,Preventive + Reactive,Semi-annual,8–10 yrs,Electrical safety,Uptime,15.8,6.5,B,+1%
Waste,Bins & compactors,T3,Preventive + Reactive,Quarterly,8–10 yrs,Waste regulations,"Pickup SLA, Overflow events",4.2,1.5,B,+1%
Other,Bicycle stands / street furniture,T3,Reactive,Annual inspection,10–15 yrs,H&S,Availability,0,0,N/A,0%
Supplier/MRO,Spare parts inventory,T2,Cycle-count + Min/Max,Monthly cycle counts,N/A,SOX/stock accuracy,"Fill rate, Stockouts",0,0,N/A,0%
Supplier/MRO,Service tools & test gear,T3,Preventive + Calibration,Annual calibration,5–7 yrs,Calibration certificates,Calibration pass rate,0.5,0.2,A,0%
Monitoring,"IoT sensors & gateways (temp, vibration, leak)",T2,Predictive + Condition-based,Remote 24×7; annual battery,5–7 yrs,Cybersecurity policy,"Alert fidelity, False positives",1.8,0.6,A,+1%
